first_name,last_name,primary_email,customer_type,youtube_handle,youtube_channel_url,company_primary,status,referral_source,preferred_communication_method,country_region,position_primary
Levi,Magony,,youtuber,levimagony,https://youtube.com/@levimagony,Levi Magony,prospect,youtube_import,email,,Content Creator
Phantom,Studios,,youtuber,Phantom3DStudios,https://youtube.com/@Phantom3DStudios,Phantom Studios,prospect,youtube_import,email,,Content Creator
Kaizen,Tutorials,,youtuber,KaizenTutorials,https://youtube.com/@KaizenTutorials,Kaizen,prospect,youtube_import,email,,Content Creator
Reality,Fakers,,youtuber,realfaker,https://youtube.com/@realfaker,Reality Fakers,prospect,youtube_import,email,,Content Creator
Ritchi,Art,,youtuber,ritchiart,https://youtube.com/@ritchiart,Ritchi,prospect,youtube_import,email,,Content Creator
Tailong,Animation,,youtuber,tailonganimation01,https://youtube.com/@tailonganimation01,Tailong animaton,prospect,youtube_import,email,,Content Creator
Decoded,VFX,,youtuber,DECODEDVFX,https://youtube.com/@DECODEDVFX,DECODED,prospect,youtube_import,email,,Content Creator
CG,Cookie,,youtuber,cg_cookie,https://youtube.com/@cg_cookie,CG Cookie,prospect,youtube_import,email,,Content Creator
Project,Sekai,,youtuber,pj_sekai_colorfulstage,https://youtube.com/@pj_sekai_colorfulstage,プロジェクトセカイ カラフルステージ! feat. 初音ミク,prospect,youtube_import,email,,Content Creator
Blender,Hub,,youtuber,blenderhub7,https://youtube.com/@blenderhub7,BlenderHub,prospect,youtube_import,email,,Content Creator
Lucid,Prism,,youtuber,LucidPrism1,https://youtube.com/@LucidPrism1,LucidPrism,prospect,youtube_import,email,,Content Creator
Pantheon,3D,,youtuber,Pantheon3D,https://youtube.com/@Pantheon3D,Pantheon,prospect,youtube_import,email,,Content Creator
Serenity,Simulations,,youtuber,SerenitySimulations,https://youtube.com/@SerenitySimulations,Serenity,prospect,youtube_import,email,,Content Creator
Pascal,CGI,,youtuber,PascalCGI,https://youtube.com/@PascalCGI,Pascal CGI,prospect,youtube_import,email,,Content Creator
Royal,Skies,,youtuber,TheRoyalSkies,https://youtube.com/@TheRoyalSkies,Royal Skies,prospect,youtube_import,email,,Content Creator
Silly,Potato,,youtuber,SillyPotato,https://youtube.com/@SillyPotato,Silly Potato,prospect,youtube_import,email,,Content Creator
Jierhonix,Studio,,youtuber,jierhonix,https://youtube.com/@jierhonix,Jierhonix,prospect,youtube_import,email,,Content Creator
Wise,Frog,,youtuber,WiseFrog-x7l,https://youtube.com/@WiseFrog-x7l,WiseFrog,prospect,youtube_import,email,,Content Creator
Studio,Wrong,,youtuber,StudioWrong,https://youtube.com/@StudioWrong,Studio Wrong,prospect,youtube_import,email,,Content Creator
C,Bailey Film,,youtuber,CBaileyFilm,https://youtube.com/@CBaileyFilm,CBaileyFilm,prospect,youtube_import,email,,Content Creator
Tim,Says A,,youtuber,timsaysa450,https://youtube.com/@timsaysa450,TimSaYsA,prospect,youtube_import,email,,Content Creator
Ghost,Designer,,youtuber,Ghostdesigner,https://youtube.com/@Ghostdesigner,Ghost Designer,prospect,youtube_import,email,,Content Creator
